NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
NYC66F0466,ACC,1966-01-17T05:00:00Z,GLOCESTER,Rhode Island,United States,N10410,None,0,0,0,,41.823,-71.4187,BEECH,A45,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MKC66F0451,ACC,1966-01-16T05:00:00Z,ST.JAMES,Minnesota,United States,N6169T,None,0,0,0,,44.9635,-93.2678,CESSNA,150E,AIR,,,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
CHI66D0535,ACC,1966-01-16T05:00:00Z,NO BENTON,Ohio,United States,N6794W,None,0,0,0,,39.1413,-84.506,PIPER,PA-28,AIR,,MILLER,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
OAK66F0190,ACC,1966-01-15T05:00:00Z,MAUI,Hawaii,United States,N86454,Fatal,1,0,0,,21.3294,-157.846,BEECH,SNB-5,AIR,,,FALSE,2,,,,Destroyed,VFR,SKYWAY AIR CAR,state_centroid
LAX66F0213,ACC,1966-01-15T05:00:00Z,TUJUNGA,California,United States,N3392C,Serious,0,1,0,,34.1141,-118.4068,BEECH,F35,AIR,,,FALSE,1,,BUS,91,Destroyed,VFR,,state_centroid
MKC66F0395,ACC,1966-01-14T05:00:00Z,SALINGA,Kansas,United States,N5783N,None,0,0,0,,37.6895,-97.3443,BEECH,35,AIR,,SALINA,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MIA66A0082,ACC,1966-01-13T05:00:00Z,N.MIAMI BEACH,Florida,United States,N2821B,Serious,0,1,2,,25.784,-80.2101,BELL,47G-1,HELI,,,FALSE,1,,,91,Substantial,VFR,,state_centroid
MKC66F0367,ACC,1966-01-13T05:00:00Z,DESOTO,Kansas,United States,N7605B,Unknown,0,0,0,,37.6895,-97.3443,STINSON,L-5,AIR,,KC SUBURBAN,FALSE,1,,UNK,91,Substantial,VFR,,state_centroid
NYC66F0469,ACC,1966-01-12T05:00:00Z,WESTERLO,New York,United States,N4113T,None,0,0,0,,40.6943,-73.9249,CESSNA,320D,AIR,,WESTERLO,FALSE,2,,BUS,91,Substantial,VFR,,state_centroid
MKC66A0037,ACC,1966-01-12T05:00:00Z,BIG FORK,Minnesota,United States,N8924F,None,0,0,0,,44.9635,-93.2678,HUGHES,269A,HELI,,BIG FORK MUNICIPL,FALSE,1,,,91,Substantial,VFR,,state_centroid
DEN66D0194,ACC,1966-01-10T05:00:00Z,WITEROCKS,Utah,United States,N2661Y,None,0,0,0,,40.7776,-111.9311,CESSNA,180,AIR,,,FALSE,1,,AOBV,91,Substantial,VFR,,state_centroid
